ProductID,Title,Type,NumberOfPagesCards
1,Monster Manual,Sourcebook,352
2,Sword Coast Adventurers Guide,Sourcebook,159
3,Dungeon Master's Screen Reincarnated,Accessory,
4,Volo's Guide to Monsters,Sourcebook,224
5,Spellbook Cards: Monsters 6-16,Accessory,74
6,Spellbook Cards: Volo's Guide to Monsters,Accessory,81
7,Waterdeep: Dragon Heist,Sourcebook,224
8,Spellbook Cards: Arcana,Accessory,257
9,Spellbook Cards: Ranger,Accessory,46
10,Spellbook Cards: Paladin,Accessory,70
11,Spellbook Cards: Martial,Accessory,61
12,Spellbook Cards: Druid,Accessory,131
13,Spellbook Cards: Bard,Accessory,128
14,Spellbook Cards: Cleric,Accessory,153
15,Essentials Kit,Kit,
16,Starter Set,Kit,
